Step,arc_challenge,arc_easy,hendrycksTest-abstract_algebra,hendrycksTest-anatomy,hendrycksTest-astronomy,hendrycksTest-business_ethics,hendrycksTest-clinical_knowledge,hendrycksTest-college_biology,hendrycksTest-college_chemistry,hendrycksTest-college_computer_science,hendrycksTest-college_mathematics,hendrycksTest-college_medicine,hendrycksTest-college_physics,hendrycksTest-computer_security,hendrycksTest-conceptual_physics,hendrycksTest-econometrics,hendrycksTest-electrical_engineering,hendrycksTest-elementary_mathematics,hendrycksTest-formal_logic,hendrycksTest-global_facts,hendrycksTest-high_school_biology,hendrycksTest-high_school_chemistry,hendrycksTest-high_school_computer_science,hendrycksTest-high_school_european_history,hendrycksTest-high_school_geography,hendrycksTest-high_school_government_and_politics,hendrycksTest-high_school_macroeconomics,hendrycksTest-high_school_mathematics,hendrycksTest-high_school_microeconomics,hendrycksTest-high_school_physics,hendrycksTest-high_school_psychology,hendrycksTest-high_school_statistics,hendrycksTest-high_school_us_history,hendrycksTest-high_school_world_history,hendrycksTest-human_aging,hendrycksTest-human_sexuality,hendrycksTest-international_law,hendrycksTest-jurisprudence,hendrycksTest-logical_fallacies,hendrycksTest-machine_learning,hendrycksTest-management,hendrycksTest-marketing,hendrycksTest-medical_genetics,hendrycksTest-miscellaneous,hendrycksTest-moral_disputes,hendrycksTest-moral_scenarios,hendrycksTest-nutrition,hendrycksTest-philosophy,hendrycksTest-prehistory,hendrycksTest-professional_accounting,hendrycksTest-professional_law,hendrycksTest-professional_medicine,hendrycksTest-professional_psychology,hendrycksTest-public_relations,hendrycksTest-security_studies,hendrycksTest-sociology,hendrycksTest-us_foreign_policy,hendrycksTest-virology,hendrycksTest-world_religions,lambada_openai,logiqa,piqa,sciq,winogrande
0,0.21416382252559726,0.2718855218855219,0.26,0.21481481481481482,0.18421052631578946,0.23,0.18867924528301888,0.2638888888888889,0.17,0.26,0.18,0.20809248554913296,0.23529411764705882,0.25,0.2553191489361702,0.2543859649122807,0.19310344827586207,0.2275132275132275,0.24603174603174602,0.26,0.20967741935483872,0.2315270935960591,0.24,0.17575757575757575,0.23737373737373738,0.21761658031088082,0.21794871794871795,0.24074074074074073,0.18907563025210083,0.18543046357615894,0.25504587155963304,0.25462962962962965,0.18627450980392157,0.17721518987341772,0.28699551569506726,0.2595419847328244,0.08264462809917356,0.1574074074074074,0.1656441717791411,0.3125,0.2524271844660194,0.23504273504273504,0.23,0.2503192848020434,0.23410404624277456,0.23798882681564246,0.17973856209150327,0.22508038585209003,0.23148148148148148,0.2765957446808511,0.23272490221642764,0.24632352941176472,0.22058823529411764,0.2545454545454545,0.3142857142857143,0.25870646766169153,0.22,0.1927710843373494,0.19298245614035087,0.0,0.22887864823348694,0.5255712731229597,0.194,0.4988161010260458
1,0.21416382252559726,0.2718855218855219,0.26,0.21481481481481482,0.18421052631578946,0.23,0.18867924528301888,0.2638888888888889,0.17,0.26,0.18,0.20809248554913296,0.23529411764705882,0.25,0.2553191489361702,0.2543859649122807,0.19310344827586207,0.2275132275132275,0.24603174603174602,0.26,0.20967741935483872,0.2315270935960591,0.24,0.17575757575757575,0.23737373737373738,0.21761658031088082,0.21794871794871795,0.24074074074074073,0.18907563025210083,0.18543046357615894,0.25504587155963304,0.25462962962962965,0.18627450980392157,0.17721518987341772,0.28699551569506726,0.2595419847328244,0.08264462809917356,0.1574074074074074,0.1656441717791411,0.3125,0.2524271844660194,0.23504273504273504,0.23,0.2503192848020434,0.23410404624277456,0.23798882681564246,0.17973856209150327,0.22508038585209003,0.23148148148148148,0.2765957446808511,0.23272490221642764,0.24632352941176472,0.22058823529411764,0.2545454545454545,0.3142857142857143,0.25870646766169153,0.22,0.1927710843373494,0.19298245614035087,0.0,0.22887864823348694,0.5255712731229597,0.194,0.4988161010260458
2,0.21416382252559726,0.27104377104377103,0.25,0.21481481481481482,0.18421052631578946,0.23,0.19245283018867926,0.2638888888888889,0.17,0.26,0.18,0.20809248554913296,0.23529411764705882,0.25,0.2553191489361702,0.2543859649122807,0.19310344827586207,0.2275132275132275,0.24603174603174602,0.26,0.20967741935483872,0.22660098522167488,0.24,0.17575757575757575,0.23737373737373738,0.21761658031088082,0.21794871794871795,0.24074074074074073,0.19327731092436976,0.18543046357615894,0.25504587155963304,0.25462962962962965,0.18627450980392157,0.17721518987341772,0.2825112107623318,0.2595419847328244,0.08264462809917356,0.1574074074074074,0.1656441717791411,0.3125,0.2524271844660194,0.23504273504273504,0.23,0.2503192848020434,0.23410404624277456,0.23798882681564246,0.17973856209150327,0.22508038585209003,0.23148148148148148,0.2765957446808511,0.23272490221642764,0.24632352941176472,0.2222222222222222,0.2545454545454545,0.3142857142857143,0.25870646766169153,0.22,0.1927710843373494,0.19298245614035087,0.0,0.22887864823348694,0.5228509249183896,0.194,0.4980268350434096
4,0.21416382252559726,0.27230639730639733,0.25,0.21481481481481482,0.18421052631578946,0.23,0.18867924528301888,0.2638888888888889,0.17,0.26,0.18,0.20809248554913296,0.23529411764705882,0.25,0.2553191489361702,0.24561403508771928,0.2,0.23015873015873015,0.24603174603174602,0.26,0.2129032258064516,0.22660098522167488,0.24,0.17575757575757575,0.23737373737373738,0.21761658031088082,0.21794871794871795,0.24074074074074073,0.19327731092436976,0.17880794701986755,0.25504587155963304,0.25,0.18627450980392157,0.17721518987341772,0.2825112107623318,0.2595419847328244,0.08264462809917356,0.1574074074074074,0.1656441717791411,0.3125,0.2524271844660194,0.23504273504273504,0.23,0.2503192848020434,0.23410404624277456,0.23798882681564246,0.17973856209150327,0.2315112540192926,0.23148148148148148,0.2765957446808511,0.23272490221642764,0.24632352941176472,0.22058823529411764,0.2545454545454545,0.3142857142857143,0.25870646766169153,0.22,0.1927710843373494,0.19298245614035087,0.0,0.22887864823348694,0.5261153427638737,0.193,0.49329123914759276
8,0.21075085324232082,0.26641414141414144,0.23,0.22962962962962963,0.17105263157894737,0.23,0.19622641509433963,0.2638888888888889,0.17,0.25,0.21,0.2138728323699422,0.23529411764705882,0.25,0.2680851063829787,0.24561403508771928,0.2,0.23015873015873015,0.2619047619047619,0.28,0.21935483870967742,0.21674876847290642,0.25,0.17575757575757575,0.23232323232323232,0.22279792746113988,0.2128205128205128,0.22592592592592592,0.19327731092436976,0.1986754966887417,0.25137614678899084,0.24074074074074073,0.18627450980392157,0.17721518987341772,0.28699551569506726,0.2595419847328244,0.09090909090909091,0.1574074074074074,0.1656441717791411,0.33035714285714285,0.23300970873786409,0.23076923076923078,0.23,0.26436781609195403,0.2254335260115607,0.23798882681564246,0.17973856209150327,0.22508038585209003,0.24074074074074073,0.2730496453900709,0.2333767926988266,0.2426470588235294,0.21568627450980393,0.2545454545454545,0.3183673469387755,0.26865671641791045,0.21,0.19879518072289157,0.2046783625730994,0.0,0.23195084485407066,0.5239390642002176,0.201,0.489344909234412
16,0.2090443686006826,0.26262626262626265,0.27,0.23703703703703705,0.18421052631578946,0.25,0.18490566037735848,0.2569444444444444,0.21,0.27,0.18,0.20809248554913296,0.21568627450980393,0.23,0.2851063829787234,0.22807017543859648,0.2,0.22486772486772486,0.2698412698412698,0.29,0.20967741935483872,0.2019704433497537,0.23,0.18787878787878787,0.2474747474747475,0.20725388601036268,0.2230769230769231,0.22592592592592592,0.18487394957983194,0.1986754966887417,0.24770642201834864,0.2361111111111111,0.17647058823529413,0.18565400843881857,0.27802690582959644,0.2366412213740458,0.10743801652892562,0.16666666666666666,0.15337423312883436,0.25,0.21359223300970873,0.23076923076923078,0.25,0.2681992337164751,0.2138728323699422,0.23798882681564246,0.1830065359477124,0.22186495176848875,0.2654320987654321,0.29432624113475175,0.2333767926988266,0.22794117647058823,0.2173202614379085,0.2545454545454545,0.3183673469387755,0.26865671641791045,0.2,0.16265060240963855,0.19883040935672514,0.0,0.2227342549923195,0.5266594124047879,0.205,0.48224151539068666
32,0.20477815699658702,0.2668350168350168,0.2,0.2074074074074074,0.16447368421052633,0.26,0.18490566037735848,0.2569444444444444,0.21,0.21,0.14,0.19653179190751446,0.13725490196078433,0.26,0.2723404255319149,0.24561403508771928,0.2413793103448276,0.2037037037037037,0.2857142857142857,0.33,0.2,0.20689655172413793,0.23,0.17575757575757575,0.25252525252525254,0.19170984455958548,0.2230769230769231,0.2074074074074074,0.18067226890756302,0.2052980132450331,0.22752293577981653,0.23148148148148148,0.18627450980392157,0.189873417721519,0.273542600896861,0.25190839694656486,0.09917355371900827,0.18518518518518517,0.17177914110429449,0.25,0.1941747572815534,0.2222222222222222,0.26,0.2503192848020434,0.22254335260115607,0.23798882681564246,0.20915032679738563,0.2379421221864952,0.25925925925925924,0.26595744680851063,0.23533246414602346,0.22794117647058823,0.22058823529411764,0.2636363636363636,0.31020408163265306,0.2835820895522388,0.23,0.14457831325301204,0.1695906432748538,0.0,0.2196620583717358,0.5272034820457019,0.223,0.4940805051302289
64,0.20819112627986347,0.2706228956228956,0.2,0.23703703703703705,0.19736842105263158,0.32,0.1660377358490566,0.2013888888888889,0.23,0.23,0.13,0.21965317919075145,0.22549019607843138,0.25,0.28936170212765955,0.22807017543859648,0.21379310344827587,0.21693121693121692,0.29365079365079366,0.21,0.19032258064516128,0.22660098522167488,0.22,0.17575757575757575,0.21717171717171718,0.21243523316062177,0.21794871794871795,0.1814814814814815,0.18067226890756302,0.1986754966887417,0.23486238532110093,0.2222222222222222,0.19117647058823528,0.1729957805907173,0.2645739910313901,0.2366412213740458,0.09917355371900827,0.18518518518518517,0.17177914110429449,0.24107142857142858,0.23300970873786409,0.19230769230769232,0.28,0.24265644955300128,0.21676300578034682,0.23798882681564246,0.20261437908496732,0.2508038585209003,0.2623456790123457,0.2695035460992908,0.2242503259452412,0.2426470588235294,0.2222222222222222,0.3,0.3183673469387755,0.2885572139303483,0.22,0.16265060240963855,0.17543859649122806,0.0,0.20890937019969277,0.5402611534276387,0.199,0.4972375690607735
128,0.20136518771331058,0.2676767676767677,0.2,0.18518518518518517,0.18421052631578946,0.31,0.18490566037735848,0.20833333333333334,0.2,0.23,0.19,0.2254335260115607,0.17647058823529413,0.24,0.3021276595744681,0.21929824561403508,0.2413793103448276,0.20634920634920634,0.2857142857142857,0.23,0.19032258064516128,0.18719211822660098,0.23,0.15757575757575756,0.22727272727272727,0.20725388601036268,0.21025641025641026,0.14814814814814814,0.18067226890756302,0.2119205298013245,0.23669724770642203,0.2222222222222222,0.19117647058823528,0.19831223628691982,0.2825112107623318,0.32061068702290074,0.09090909090909091,0.1574074074074074,0.20245398773006135,0.1875,0.23300970873786409,0.20512820512820512,0.25,0.25287356321839083,0.21098265895953758,0.23798882681564246,0.1895424836601307,0.27009646302250806,0.2623456790123457,0.24468085106382978,0.23533246414602346,0.26838235294117646,0.24183006535947713,0.2727272727272727,0.3183673469387755,0.2736318407960199,0.23,0.18674698795180722,0.1871345029239766,0.0,0.20276497695852536,0.5261153427638737,0.219,0.49171270718232046
256,0.19965870307167236,0.27441077441077444,0.21,0.2074074074074074,0.20394736842105263,0.32,0.18490566037735848,0.2222222222222222,0.23,0.25,0.16,0.23699421965317918,0.20588235294117646,0.22,0.251063829787234,0.2543859649122807,0.25517241379310346,0.2275132275132275,0.2698412698412698,0.27,0.2129032258064516,0.1921182266009852,0.19,0.16363636363636364,0.18686868686868688,0.19689119170984457,0.19743589743589743,0.12222222222222222,0.18907563025210083,0.2052980132450331,0.24587155963302754,0.2175925925925926,0.18627450980392157,0.17721518987341772,0.3273542600896861,0.29770992366412213,0.10743801652892562,0.1574074074074074,0.22085889570552147,0.2767857142857143,0.23300970873786409,0.23076923076923078,0.29,0.23627075351213284,0.2254335260115607,0.23798882681564246,0.19607843137254902,0.2379421221864952,0.28703703703703703,0.25886524822695034,0.242503259452412,0.25,0.25326797385620914,0.2818181818181818,0.3306122448979592,0.23383084577114427,0.23,0.22289156626506024,0.1695906432748538,0.0,0.21044546850998463,0.5179542981501633,0.228,0.4925019731649566
